ISO2,ISO3,Issuer Country,Primary_Sector,Bond_Count,Total_USD_B
MU,MUS,Mauritius,Solar,2,0.9139999999999999
MY,MYS,Malaysia,Solar,1,0.083
NG,NGA,Nigeria,Solar,7,0.056476935
NG,NGA,Nigeria,Solarwater Infrastructurelow Carbon Transport,1,0.0418
NG,NGA,Nigeria,Solar Transport,1,0.0125
NG,NGA,Nigeria,Agriculture Solar Water,1,0.0102127
NL,NLD,Netherlands,Low Carbon Buildings,22,27.56377942
NL,NLD,Netherlands,Low Carbon Transportlow Carbon Buildingsmarinesolarwaterwind,1,5.2085155930000004
NL,NLD,Netherlands,Low Carbon Transport,2,2.18658
NO,NOR,Norway,Low Carbon Buildings,11,10.7801125
NO,NOR,Norway,Low Carbon Transport,1,0.104
NZ,NZL,New Zealand,Electrical Grids And Storage,25,5.297666185
NZ,NZL,New Zealand,Geothermal,7,1.773084229
NZ,NZL,New Zealand,Wind,7,0.852974
NZ,NZL,New Zealand,Windgeothermal,4,0.5923868000000001
NZ,NZL,New Zealand,Shipping,1,0.246898
NZ,NZL,New Zealand,Low Carbon Transport,2,0.23620000000000002
NZ,NZL,New Zealand,Geothermal Hydropower,2,0
NZ,NZL,New Zealand,Solar,1,0
PA,PAN,Panama,Wind,1,0.125
PA,PAN,Panama,Solar,1,0.015
PA,PAN,Panama,Low Carbon Transportsolar,1,0.01
PA,PAN,Panama,Solar Transport,1,0.01
PE,PER,Peru,Forestry,1,0.045
PH,PHL,Philippines,Solarwindgeothermal,1,0.47
PH,PHL,Philippines,Geothermal,1,0.225
PL,POL,Poland,Low Carbon Buildings,5,1.340392
PL,POL,Poland,Wind Solar Low Carbon Buildings,1,0.8023725
PL,POL,Poland,Low Carbon Transport Solar Wind Marine Renewable Energy Waste Management,1,0.611
PL,POL,Poland,Solar Wind Residential Buildings,1,0.580565
PL,POL,Poland,Solar Wind Low Carbon Buildings,1,0.557805
SG,SGP,Singapore,Solarwind,3,0.6287667
SG,SGP,Singapore,Low Carbon Buildings,1,0.071
SG,SGP,Singapore,Solar,4,0
SG,SGP,Singapore,Solar Wind,1,0
SG,SGP,Singapore,Wind,1,0
SE,SWE,Sweden,Low Carbon Buildings,2,0.05293048
SE,SWE,Sweden,Solar,1,0.00955413
TH,THA,Thailand,Low Carbon Transport,4,2.214349178
TH,THA,Thailand,Solar Wind,1,0.934
TH,THA,Thailand,Solar,2,0.5982
TH,THA,Thailand,Solarwind,2,0.44244129
TH,THA,Thailand,Wind,4,0.3729
TH,THA,Thailand,Forestry,1,0.065
TH,THA,Thailand,Geothermal,1,0
US,USA,United States,Low Carbon Transport,59,33.031308066
US,USA,United States,Water Infrastructure,30,6.83356
US,USA,United States,Low Carbon Buildings,35,6.00614
US,USA,United States,Solar,8,1.2659390000000001
US,USA,United States,Low Carbon Transport Shipping,2,0.65
US,USA,United States,Steel,1,0.33
US,USA,United States,Electrical Grids And Storage,3,0.27601
US,USA,United States,Marine Renewable Energy,1,0.16
US,USA,United States,Geothermal,3,0
US,USA,United States,Solar Wind Transport,1,0
VN,VNM,Vietnam,Solar,2,0.34650000000000003
VN,VNM,Vietnam,Wind,5,0.173
VN,VNM,Vietnam,Low Carbon Transport,1,0
ZA,ZAF,South Africa,Solar,2,0.647099435
ZA,ZAF,South Africa,Solarwind,2,0.184
ZA,ZAF,South Africa,Water,1,0.076
