ObjectId,Country,ISO2,ISO3,Indicator,Source,CTS_Code,CTS_Name,CTS_Full_Descriptor,Bond_Type,Type_of_Issuer,Use_of_Proceed,Principal_Currency,Unit,F2006,F2007,F2008,F2009,F2010,F2011,F2012,F2013,F2014,F2015,F2016,F2017,F2018,F2019,F2020,F2021,F2022,F2023,F2024
547,World,,WLD,Cumulative Social Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Social Bond,Not Applicable,Not Applicable,Thai Baht,Billion US Dollars,,,,,,,,,,,,,,,,,,,0.875531321
548,World,,WLD,Cumulative Social Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Social Bond,Not Applicable,Not Applicable,Thai Baht,Share,,,,,,,,,,,,,,,,,,,0.0959771080431294
549,World,,WLD,Cumulative Social Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Social Bond,Not Applicable,Not Applicable,Turkish Lira,Billion US Dollars,,,,,,,,,,,,,,,,,,,0.01176534
550,World,,WLD,Cumulative Social Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Social Bond,Not Applicable,Not Applicable,Turkish Lira,Share,,,,,,,,,,,,,,,,,,,0.0012897349086888
551,World,,WLD,Cumulative Social Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Social Bond,Not Applicable,Not Applicable,Ugandan Shilling,Billion US Dollars,,,,,,,,,,,,,,,,,,,0.005170068
552,World,,WLD,Cumulative Social Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Social Bond,Not Applicable,Not Applicable,Ugandan Shilling,Share,,,,,,,,,,,,,,,,,,,0.0005667509124169
553,World,,WLD,Cumulative Social Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Social Bond,Not Applicable,Not Applicable,Uruguayan Peso,Billion US Dollars,,,,,,,,,,,,,,,,,,,0.006493506
554,World,,WLD,Cumulative Social Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Social Bond,Not Applicable,Not Applicable,Uruguayan Peso,Share,,,,,,,,,,,,,,,,,,,0.0007118282487357
555,World,,WLD,Cumulative Social Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Social Bond,Not Applicable,Not Applicable,US Dollar,Billion US Dollars,,,,,,,,,,,,,,,,,,,243.511564822
556,World,,WLD,Cumulative Social Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Social Bond,Not Applicable,Not Applicable,US Dollar,Share,,,,,,,,,,,,,,,,,,,26.6941172818106
557,World,,WLD,Cumulative Social Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Social Bond,Not Applicable,Not Applicable,West African CFA Franc,Billion US Dollars,,,,,,,,,,,,,,,,,,,10.512918472
558,World,,WLD,Cumulative Social Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Social Bond,Not Applicable,Not Applicable,West African CFA Franc,Share,,,,,,,,,,,,,,,,,,,1.15244250871952
559,World,,WLD,Cumulative Sustainability Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,Argentinian Peso,Billion US Dollars,,,,,,,,,,,,,,,,,,,0.157800561
560,World,,WLD,Cumulative Sustainability Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,Argentinian Peso,Share,,,,,,,,,,,,,,,,,,,0.0142149410767306
561,World,,WLD,Cumulative Sustainability Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,Armenian Dram,Billion US Dollars,,,,,,,,,,,,,,,,,,,0.013358023
562,World,,WLD,Cumulative Sustainability Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,Armenian Dram,Share,,,,,,,,,,,,,,,,,,,0.0012033132749547
563,World,,WLD,Cumulative Sustainability Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,Australian Dollar,Billion US Dollars,,,,,,,,,,,,,,,,,,,36.607463528
564,World,,WLD,Cumulative Sustainability Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,Australian Dollar,Share,,,,,,,,,,,,,,,,,,,3.297662148483
565,World,,WLD,Cumulative Sustainability Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,Brazilian Real,Billion US Dollars,,,,,,,,,,,,,,,,,,,7.892211903
566,World,,WLD,Cumulative Sustainability Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,Brazilian Real,Share,,,,,,,,,,,,,,,,,,,0.710943779003527
567,World,,WLD,Cumulative Sustainability Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,British Pound,Billion US Dollars,,,,,,,,,,,,,,,,,,,71.788916783
568,World,,WLD,Cumulative Sustainability Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,British Pound,Share,,,,,,,,,,,,,,,,,,,6.46686688289187
569,World,,WLD,Cumulative Sustainability Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,Canadian Dollar,Billion US Dollars,,,,,,,,,,,,,,,,,,,24.982688777
570,World,,WLD,Cumulative Sustainability Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,Canadian Dollar,Share,,,,,,,,,,,,,,,,,,,2.2504828034379
571,World,,WLD,Cumulative Sustainability Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,Chilean Peso,Billion US Dollars,,,,,,,,,,,,,,,,,,,2.705277284
572,World,,WLD,Cumulative Sustainability Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,Chilean Peso,Share,,,,,,,,,,,,,,,,,,,0.243695947242404
573,World,,WLD,Cumulative Sustainability Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,Chilean Unidad de Fomento,Billion US Dollars,,,,,,,,,,,,,,,,,,,0.59271624
574,World,,WLD,Cumulative Sustainability Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,Chilean Unidad de Fomento,Share,,,,,,,,,,,,,,,,,,,0.0533928800596678
575,World,,WLD,Cumulative Sustainability Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,Chinese Yuan,Billion US Dollars,,,,,,,,,,,,,,,,,,,10.944426204
576,World,,WLD,Cumulative Sustainability Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,Chinese Yuan,Share,,,,,,,,,,,,,,,,,,,0.985892398750636
577,World,,WLD,Cumulative Sustainability Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,Colombian Peso,Billion US Dollars,,,,,,,,,,,,,,,,,,,0.457257416
578,World,,WLD,Cumulative Sustainability Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,Colombian Peso,Share,,,,,,,,,,,,,,,,,,,0.0411905203894559
579,World,,WLD,Cumulative Sustainability Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,Euro,Billion US Dollars,,,,,,,,,,,,,,,,,,,234.51928887
580,World,,WLD,Cumulative Sustainability Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,Euro,Share,,,,,,,,,,,,,,,,,,,21.1258936693121
581,World,,WLD,Cumulative Sustainability Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,Georgian Lari,Billion US Dollars,,,,,,,,,,,,,,,,,,,0.059543541
582,World,,WLD,Cumulative Sustainability Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,Georgian Lari,Share,,,,,,,,,,,,,,,,,,,0.0053637827486233
583,World,,WLD,Cumulative Sustainability Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,Hong Kong Dollar,Billion US Dollars,,,,,,,,,,,,,,,,,,,1.947944613
584,World,,WLD,Cumulative Sustainability Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,Hong Kong Dollar,Share,,,,,,,,,,,,,,,,,,,0.175474141023679
585,World,,WLD,Cumulative Sustainability Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,Indian Rupee,Billion US Dollars,,,,,,,,,,,,,,,,,,,1.702399988
586,World,,WLD,Cumulative Sustainability Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,Indian Rupee,Share,,,,,,,,,,,,,,,,,,,0.153355066452817
587,World,,WLD,Cumulative Sustainability Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,Indonesian Rupiah,Billion US Dollars,,,,,,,,,,,,,,,,,,,0.791483591
588,World,,WLD,Cumulative Sustainability Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,Indonesian Rupiah,Share,,,,,,,,,,,,,,,,,,,0.071298178776843
589,World,,WLD,Cumulative Sustainability Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,Japanese Yen,Billion US Dollars,,,,,,,,,,,,,,,,,,,22.214340677
590,World,,WLD,Cumulative Sustainability Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,Japanese Yen,Share,,,,,,,,,,,,,,,,,,,2.00110533055693
591,World,,WLD,Cumulative Sustainability Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,Kazakhstani Tenge,Billion US Dollars,,,,,,,,,,,,,,,,,,,0.594053357
592,World,,WLD,Cumulative Sustainability Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,Kazakhstani Tenge,Share,,,,,,,,,,,,,,,,,,,0.0535133298175599
593,World,,WLD,Cumulative Sustainability Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,Kenyan Shilling,Billion US Dollars,,,,,,,,,,,,,,,,,,,0.004651162
594,World,,WLD,Cumulative Sustainability Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,Kenyan Shilling,Share,,,,,,,,,,,,,,,,,,,0.0004189845292649
595,World,,WLD,Cumulative Sustainability Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,Malaysian Ringgit,Billion US Dollars,,,,,,,,,,,,,,,,,,,11.478001565
596,World,,WLD,Cumulative Sustainability Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,Malaysian Ringgit,Share,,,,,,,,,,,,,,,,,,,1.03395776853478
597,World,,WLD,Cumulative Sustainability Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,Mexican Peso,Billion US Dollars,,,,,,,,,,,,,,,,,,,23.851952056
598,World,,WLD,Cumulative Sustainability Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,Mexican Peso,Share,,,,,,,,,,,,,,,,,,,2.14862412967621
599,World,,WLD,Cumulative Sustainability Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,Mexican Unidad de Inversion,Billion US Dollars,,,,,,,,,,,,,,,,,,,0.333641576
600,World,,WLD,Cumulative Sustainability Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,Mexican Unidad de Inversion,Share,,,,,,,,,,,,,,,,,,,0.0300549967220175
601,World,,WLD,Cumulative Sustainability Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,Namibian Dollar,Billion US Dollars,,,,,,,,,,,,,,,,,,,0.012325234
602,World,,WLD,Cumulative Sustainability Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,Namibian Dollar,Share,,,,,,,,,,,,,,,,,,,0.0011102778973448
603,World,,WLD,Cumulative Sustainability Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,New Zealand Dollar,Billion US Dollars,,,,,,,,,,,,,,,,,,,11.970793237
604,World,,WLD,Cumulative Sustainability Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,New Zealand Dollar,Share,,,,,,,,,,,,,,,,,,,1.07834927472583
605,World,,WLD,Cumulative Sustainability Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,Norwegian Krone,Billion US Dollars,,,,,,,,,,,,,,,,,,,4.598298894
606,World,,WLD,Cumulative Sustainability Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,Norwegian Krone,Share,,,,,,,,,,,,,,,,,,,0.414222531385077
607,World,,WLD,Cumulative Sustainability Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,Paraguayan Guarani,Billion US Dollars,,,,,,,,,,,,,,,,,,,0.025349545
608,World,,WLD,Cumulative Sustainability Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,Paraguayan Guarani,Share,,,,,,,,,,,,,,,,,,,0.0022835298316647
609,World,,WLD,Cumulative Sustainability Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,Peruvian Sol,Billion US Dollars,,,,,,,,,,,,,,,,,,,11.043719226
610,World,,WLD,Cumulative Sustainability Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,Peruvian Sol,Share,,,,,,,,,,,,,,,,,,,0.99483688188882
611,World,,WLD,Cumulative Sustainability Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,Philippine Peso,Billion US Dollars,,,,,,,,,,,,,,,,,,,4.447971321
612,World,,WLD,Cumulative Sustainability Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,Philippine Peso,Share,,,,,,,,,,,,,,,,,,,0.400680769690055
613,World,,WLD,Cumulative Sustainability Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,Polish Zloty,Billion US Dollars,,,,,,,,,,,,,,,,,,,1.141139417
614,World,,WLD,Cumulative Sustainability Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,Polish Zloty,Share,,,,,,,,,,,,,,,,,,,0.102795766188624
615,World,,WLD,Cumulative Sustainability Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,Romanian Leu,Billion US Dollars,,,,,,,,,,,,,,,,,,,0.317498597
616,World,,WLD,Cumulative Sustainability Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,Romanian Leu,Share,,,,,,,,,,,,,,,,,,,0.0286008099064973
617,World,,WLD,Cumulative Sustainability Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,Russian Ruble,Billion US Dollars,,,,,,,,,,,,,,,,,,,0.364297319
618,World,,WLD,Cumulative Sustainability Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,Russian Ruble,Share,,,,,,,,,,,,,,,,,,,0.0328165178322523
619,World,,WLD,Cumulative Sustainability Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,Rwandan Franc,Billion US Dollars,,,,,,,,,,,,,,,,,,,0.026975991
620,World,,WLD,Cumulative Sustainability Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,Rwandan Franc,Share,,,,,,,,,,,,,,,,,,,0.0024300428345841
621,World,,WLD,Cumulative Sustainability Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,Singapore Dollar,Billion US Dollars,,,,,,,,,,,,,,,,,,,0.442845087
622,World,,WLD,Cumulative Sustainability Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,Singapore Dollar,Share,,,,,,,,,,,,,,,,,,,0.0398922334491867
623,World,,WLD,Cumulative Sustainability Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,South African Rand,Billion US Dollars,,,,,,,,,,,,,,,,,,,1.016401814
624,World,,WLD,Cumulative Sustainability Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,South African Rand,Share,,,,,,,,,,,,,,,,,,,0.091559192215369
625,World,,WLD,Cumulative Sustainability Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,South Korean Won,Billion US Dollars,,,,,,,,,,,,,,,,,,,21.862263201
626,World,,WLD,Cumulative Sustainability Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,South Korean Won,Share,,,,,,,,,,,,,,,,,,,1.96938959682273
627,World,,WLD,Cumulative Sustainability Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,Swedish Krona,Billion US Dollars,,,,,,,,,,,,,,,,,,,5.925818003
628,World,,WLD,Cumulative Sustainability Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,Swedish Krona,Share,,,,,,,,,,,,,,,,,,,0.533807695044089
629,World,,WLD,Cumulative Sustainability Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,Swiss Franc,Billion US Dollars,,,,,,,,,,,,,,,,,,,1.672807324
630,World,,WLD,Cumulative Sustainability Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,Swiss Franc,Share,,,,,,,,,,,,,,,,,,,0.150689309294555
631,World,,WLD,Cumulative Sustainability Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,Taiwanese Dollar,Billion US Dollars,,,,,,,,,,,,,,,,,,,1.380890221
632,World,,WLD,Cumulative Sustainability Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,Taiwanese Dollar,Share,,,,,,,,,,,,,,,,,,,0.124392923577429
633,World,,WLD,Cumulative Sustainability Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,Thai Baht,Billion US Dollars,,,,,,,,,,,,,,,,,,,16.638484018
634,World,,WLD,Cumulative Sustainability Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,Thai Baht,Share,,,,,,,,,,,,,,,,,,,1.49882274450211
635,World,,WLD,Cumulative Sustainability Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,Turkish Lira,Billion US Dollars,,,,,,,,,,,,,,,,,,,0.322759977
636,World,,WLD,Cumulative Sustainability Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,Turkish Lira,Share,,,,,,,,,,,,,,,,,,,0.029074763903925
637,World,,WLD,Cumulative Sustainability Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,Ukrainian Hryvnia,Billion US Dollars,,,,,,,,,,,,,,,,,,,0.008347856
638,World,,WLD,Cumulative Sustainability Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,Ukrainian Hryvnia,Share,,,,,,,,,,,,,,,,,,,0.0007519889688923
639,World,,WLD,Cumulative Sustainability Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,Uruguayan Peso,Billion US Dollars,,,,,,,,,,,,,,,,,,,0.525175584
640,World,,WLD,Cumulative Sustainability Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,Uruguayan Peso,Share,,,,,,,,,,,,,,,,,,,0.0473087036838707
641,World,,WLD,Cumulative Sustainability Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,US Dollar,Billion US Dollars,,,,,,,,,,,,,,,,,,,571.97362655
642,World,,WLD,Cumulative Sustainability Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,US Dollar,Share,,,,,,,,,,,,,,,,,,,51.5243504036221
643,World,,WLD,Cumulative Sustainability Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,Uzbekistani Sum,Billion US Dollars,,,,,,,,,,,,,,,,,,,0.736615558
644,World,,WLD,Cumulative Sustainability Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,Uzbekistani Sum,Share,,,,,,,,,,,,,,,,,,,0.0663555736862875
645,World,,WLD,Cumulative Sustainability Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,Vietnamese Dong,Billion US Dollars,,,,,,,,,,,,,,,,,,,0.009696491
646,World,,WLD,Cumulative Sustainability Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,Vietnamese Dong,Share,,,,,,,,,,,,,,,,,,,0.0008734762876796
647,World,,WLD,Cumulative Sustainability Linked Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Linked Bond,Not Applicable,Not Applicable,Australian Dollar,Billion US Dollars,,,,,,,,,,,,,,,,,,,1.754027567
648,World,,WLD,Cumulative Sustainability Linked Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Linked Bond,Not Applicable,Not Applicable,Australian Dollar,Share,,,,,,,,,,,,,,,,,,,0.504128664755937
649,World,,WLD,Cumulative Sustainability Linked Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Linked Bond,Not Applicable,Not Applicable,Brazilian Real,Billion US Dollars,,,,,,,,,,,,,,,,,,,2.345497548
650,World,,WLD,Cumulative Sustainability Linked Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Linked Bond,Not Applicable,Not Applicable,Brazilian Real,Share,,,,,,,,,,,,,,,,,,,0.674124266521043
651,World,,WLD,Cumulative Sustainability Linked Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Linked Bond,Not Applicable,Not Applicable,British Pound,Billion US Dollars,,,,,,,,,,,,,,,,,,,5.05197216
652,World,,WLD,Cumulative Sustainability Linked Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Linked Bond,Not Applicable,Not Applicable,British Pound,Share,,,,,,,,,,,,,,,,,,,1.45199769223751
653,World,,WLD,Cumulative Sustainability Linked Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Linked Bond,Not Applicable,Not Applicable,Canadian Dollar,Billion US Dollars,,,,,,,,,,,,,,,,,,,4.289732768
654,World,,WLD,Cumulative Sustainability Linked Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Linked Bond,Not Applicable,Not Applicable,Canadian Dollar,Share,,,,,,,,,,,,,,,,,,,1.23292090339857
655,World,,WLD,Cumulative Sustainability Linked Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Linked Bond,Not Applicable,Not Applicable,Chilean Peso,Billion US Dollars,,,,,,,,,,,,,,,,,,,3.946141845
656,World,,WLD,Cumulative Sustainability Linked Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Linked Bond,Not Applicable,Not Applicable,Chilean Peso,Share,,,,,,,,,,,,,,,,,,,1.1341687306887
657,World,,WLD,Cumulative Sustainability Linked Bond Issuances by Type of Currency,"Refinitiv; Country authorities; IMF staff calculations.",,,,Linked Bond,Not Applicable,Not Applicable,Chilean Unidad de Fomento,Billion US Dollars,,,,,,,,,,,,,,,,,,,0.980736
