ObjectId,Country,ISO2,ISO3,Indicator,Source,CTS_Code,CTS_Name,CTS_Full_Descriptor,Bond_Type,Type_of_Issuer,Use_of_Proceed,Principal_Currency,Unit,F2006,F2007,F2008,F2009,F2010,F2011,F2012,F2013,F2014,F2015,F2016,F2017,F2018,F2019,F2020,F2021,F2022,F2023,F2024
66,"China, P.R.: Hong Kong",HK,HKG,Sustainability Linked Bond Issuances by Country,"Refinitiv; Country authorities; IMF staff calculations.",,,,Linked Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,,1.15,0.2,0.206739714,0.275858264
67,"China, P.R.: Macao",MO,MAC,Green Bond Issuances by Country,"Refinitiv; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Climate Finance, Green Bonds, Green Bonds Issuances ",Green Bonds,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,1.080729826,0.483691533,1.03597691,1,,
68,"China, P.R.: Macao",MO,MAC,Social Bond Issuances by Country,"Refinitiv; Country authorities; IMF staff calculations.",,,,Social Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,0.641512193,,,,
69,"China, P.R.: Macao",MO,MAC,Sustainability Bond Issuances by Country,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,,,,,0.137929132
70,"China, P.R.: Mainland",CN,CHN,Green Bond Issuances by Country,"Refinitiv; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Climate Finance, Green Bonds, Green Bonds Issuances ",Green Bonds,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,0.138077682,0.982380239,28.214849946,28.832399653,28.644223087,39.955649245,27.031660192,70.698103225,95.979295334,85.895426686,64.719533974
71,"China, P.R.: Mainland",CN,CHN,Social Bond Issuances by Country,"Refinitiv; Country authorities; IMF staff calculations.",,,,Social Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,0.413964967,0.412671161,2.72984708,1.554609498,0.179277073,0.550881726,1.05516372
72,"China, P.R.: Mainland",CN,CHN,Sovereign Green Bond Issuances,"Refinitiv; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,2.788229618,,,,,
73,"China, P.R.: Mainland",CN,CHN,Sustainability Bond Issuances by Country,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,9.5498444,11.460388901,10.423859649,9.409687548,16.465981574
74,"China, P.R.: Mainland",CN,CHN,Sustainability Linked Bond Issuances by Country,"Refinitiv; Country authorities; IMF staff calculations.",,,,Linked Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,,4.667167851,7.254569381,3.696892832,4.633383193
75,Colombia,CO,COL,Green Bond Issuances by Country,"Refinitiv; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Climate Finance, Green Bonds, Green Bonds Issuances ",Green Bonds,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,0.046053767,0.11396548,,0.15672068,3.638470491,0.049004492,,
76,Colombia,CO,COL,Social Bond Issuances by Country,"Refinitiv; Country authorities; IMF staff calculations.",,,,Social Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,,0.707830111,0.145458351,3.945776843,0.008437563
77,Colombia,CO,COL,Sovereign Green Bond Issuances,"Refinitiv; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,,3.496615484,,,
78,Colombia,CO,COL,Sovereign Social Bond Issuances,"Refinitiv; Country authorities; IMF staff calculations.",,,,Social Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,,,,3.8,
79,Colombia,CO,COL,Sustainability Bond Issuances by Country,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,0.095468286,,,,0.8,0.069204169
80,Colombia,CO,COL,Sustainability Linked Bond Issuances by Country,"Refinitiv; Country authorities; IMF staff calculations.",,,,Linked Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,,0.012096286,,,
81,Costa Rica,CR,CRI,Green Bond Issuances by Country,"Refinitiv; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Climate Finance, Green Bonds, Green Bonds Issuances ",Green Bonds,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,1,,,,,,0.0080522,,
82,Costa Rica,CR,CRI,Sustainability Bond Issuances by Country,"Refinitiv; Country authorities; IMF staff calculations.",,,,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,,0.01,,,
83,Costa Rica,CR,CRI,Sustainability Linked Bond Issuances by Country,"Refinitiv; Country authorities; IMF staff calculations.",,,,Linked Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,,0.61,,,
